(13.00,1.48)
(-0.96,1.48)
(13.00,1.44)
(-1.13,1.44)
(13.00,1.48)
(-0.97,1.48)
(13.00,1.44)
(-1.13,1.44)
(13.00,1.48)
(-1.13,1.48)
(13.00,1.44)
(-1.13,1.44)
(13.00,1.44)
(-1.13,1.44)
(13.00,1.45)
(-0.97,1.45)
(13.00,1.44)
(-0.97,1.44)
(13.00,1.50)
(-0.96,1.50)
(13.00,1.46)
(-0.97,1.46)
(13.00,1.50)
(-0.97,1.50)
(13.00,1.46)
(-0.96,1.46)
(13.00,1.50)
(-0.97,1.50)
(13.00,1.46)
(-0.97,1.46)
(13.00,1.53)
(-0.97,1.53)
(13.00,1.48)
(-1.13,1.48)
(13.00,1.52)
(-1.13,1.52)
(13.00,1.53)
(-1.13,1.53)
(13.00,1.61)
(-1.11,1.61)
(13.00,1.81)
(-1.28,1.81)
(13.00,1.93)
(8.10,1.93)
(13.00,2.09)
(-1.11,2.09)
(13.00,2.24)
(8.98,2.24)
(13.00,2.54)
(-0.95,2.54)
(13.00,2.60)
(-1.11,2.60)
(13.00,2.52)
(8.76,2.52)
(13.00,2.66)
(9.14,2.66)
(13.00,2.76)
(8.66,2.76)
(13.00,2.84)
(8.50,2.84)
(13.00,2.91)
(8.22,2.91)
(13.00,3.02)
(9.60,3.02)
(13.00,3.14)
(9.95,3.14)
(13.00,3.29)
(9.85,3.29)
(13.00,3.39)
(9.83,3.39)
(13.00,3.49)
(9.85,3.49)
(13.00,3.61)
(10.08,3.61)
(13.00,3.75)
(10.10,3.75)
(13.00,3.79)
(10.25,3.79)
(13.00,3.91)
(10.29,3.91)
(13.00,4.00)
(10.43,4.00)
(13.00,4.05)
(10.25,4.05)
(13.00,4.08)
(10.48,4.08)
(13.00,4.16)
(10.44,4.16)
(13.00,4.22)
(10.48,4.22)
(13.00,4.28)
(10.44,4.28)
(13.00,4.38)
(10.48,4.38)
(13.00,4.42)
(10.43,4.42)
(13.00,4.50)
(10.66,4.50)
(13.00,4.60)
(10.62,4.60)
(13.00,4.68)
(10.66,4.68)
(13.00,4.76)
(10.45,4.76)
(13.00,4.87)
(10.50,4.87)
(13.00,5.01)
(10.62,5.01)
(13.00,5.11)
(10.45,5.11)
(13.00,5.28)
(10.50,5.28)
(13.00,5.41)
(10.64,5.41)
(13.00,5.54)
(10.46,5.54)
(13.00,5.62)
(10.68,5.62)
(13.00,5.76)
(10.64,5.76)
(13.00,5.88)
(10.64,5.88)
(13.00,5.96)
(10.68,5.96)
(13.00,6.12)
(10.64,6.12)
(13.00,6.14)
(10.45,6.14)
(13.00,6.19)
(10.46,6.19)
(13.00,6.42)
(10.50,6.42)
(13.00,6.45)
(10.10,6.45)
(13.00,6.73)
(9.91,6.73)
(13.00,6.92)
(9.52,6.92)
(13.00,6.89)
(9.52,6.89)
(13.00,6.95)
(9.97,6.95)
(13.00,6.99)
(9.96,6.99)
(13.00,7.09)
(9.60,7.09)
(13.00,7.05)
(9.10,7.05)
(13.00,7.14)
(8.37,7.14)
(13.00,7.23)
(9.29,7.23)
(13.00,7.38)
(9.43,7.38)
(13.00,7.57)
(-1.07,7.57)
(13.00,7.64)
(9.12,7.64)
(13.00,7.83)
(4.25,7.83)
(13.00,7.68)
(4.47,7.68)
(13.00,7.97)
(5.01,7.97)
(13.00,7.89)
(4.72,7.89)
(13.00,8.11)
(4.87,8.11)
(13.00,7.90)
(4.70,7.90)
(13.00,7.96)
(5.58,7.96)
(13.00,8.13)
(5.31,8.13)
(13.00,7.89)
(5.26,7.89)
(13.00,7.32)
(5.81,7.32)
(13.00,7.52)
(5.85,7.52)
(13.00,8.07)
(5.87,8.07)
(13.00,8.15)
(6.06,8.15)
(13.00,8.63)
(6.08,8.63)
(13.00,9.79)
(6.26,9.79)
(13.00,10.09)
(6.27,10.09)
(13.00,10.03)
(6.10,10.03)
(13.00,10.48)
(6.13,10.48)
(13.00,10.60)
(6.28,10.60)
(13.00,10.76)
(5.95,10.76)
(13.00,10.93)
(6.14,10.93)
(13.00,11.13)
(5.98,11.13)
(13.00,11.49)
(6.33,11.49)
(13.00,11.68)
(6.18,11.68)
(13.00,12.04)
(6.35,12.04)
(13.00,12.20)
(6.35,12.20)
(13.00,12.35)
(6.19,12.35)
(13.00,12.28)
(6.18,12.28)
(13.00,12.55)
(6.20,12.55)
(13.00,12.55)
(6.37,12.55)
(13.00,12.71)
(6.21,12.71)
(13.00,13.03)
(6.20,13.03)
(13.00,13.20)
(6.20,13.20)
(13.00,13.23)
(6.20,13.23)
(13.00,13.31)
(6.20,13.31)
(13.00,13.46)
(6.37,13.46)
(13.00,13.66)
(6.20,13.66)
(13.00,13.80)
(6.22,13.80)
(13.00,13.97)
(5.87,13.97)
(13.00,14.03)
(5.87,14.03)
(13.00,14.21)
(5.85,14.21)
(13.00,14.47)
(5.85,14.47)
(13.00,14.98)
(5.47,14.98)
(13.00,15.00)
(5.10,15.00)
(13.00,15.28)
(4.57,15.28)
(13.00,15.00)
(-0.73,15.00)
(13.00,15.32)
(4.75,15.32)
(13.00,15.36)
(-0.73,15.36)
(13.00,15.54)
(-0.91,15.54)
(13.00,15.83)
(-0.73,15.83)
(13.00,15.85)
(-0.55,15.85)
(13.00,16.13)
(-0.73,16.13)
(13.00,16.09)
(-0.91,16.09)
(13.00,16.05)
(-0.91,16.05)
(13.00,16.21)
(-0.57,16.21)
(13.00,16.50)
(-0.56,16.50)
(13.00,16.64)
(-0.73,16.64)
(11.79,18.00)
(11.79,6.77)
(11.80,18.00)
(11.80,6.46)
(11.79,18.00)
(11.79,6.41)
(11.96,18.00)
(11.96,6.81)
(12.00,18.00)
(12.00,6.45)
(11.96,18.00)
(11.96,6.81)
(11.96,18.00)
(11.96,6.45)
(11.96,18.00)
(11.96,6.77)
(11.96,18.00)
(11.96,6.46)
(12.00,18.00)
(12.00,6.46)
(11.96,18.00)
(11.96,6.45)
(11.96,18.00)
(11.96,6.46)
(11.96,18.00)
(11.96,6.41)
(11.96,18.00)
(11.96,6.45)
(12.00,18.00)
(12.00,6.62)
(12.12,18.00)
(12.12,6.58)
(12.12,18.00)
(12.12,6.45)
(12.16,18.00)
(12.16,6.46)
(12.12,18.00)
(12.12,6.77)
(12.04,18.00)
(12.04,7.00)
(11.75,18.00)
(11.75,6.62)
(11.81,18.00)
(11.81,7.20)
(11.58,18.00)
(11.58,6.83)
(11.67,18.00)
(11.67,7.05)
(11.51,18.00)
(11.51,7.39)
(11.39,18.00)
(11.39,7.10)
(11.31,18.00)
(11.31,7.12)
(11.07,18.00)
(11.07,7.43)
(10.82,18.00)
(10.82,7.33)
(10.68,18.00)
(10.68,7.66)
(10.34,18.00)
(10.34,7.52)
(10.28,18.00)
(10.28,7.85)
(10.20,18.00)
(10.20,7.72)
(10.09,18.00)
(10.09,7.56)
(10.01,18.00)
(10.01,7.74)
(10.01,18.00)
(10.01,7.70)
(9.98,18.00)
(9.98,7.70)
(9.85,18.00)
(9.85,7.70)
(9.71,18.00)
(9.71,7.70)
(9.38,18.00)
(9.38,7.72)
(9.22,18.00)
(9.22,7.89)
(9.08,18.00)
(9.08,7.89)
(9.08,18.00)
(9.08,7.89)
(8.73,18.00)
(8.73,7.76)
(8.60,18.00)
(8.60,7.93)
(8.62,18.00)
(8.62,7.76)
(8.39,18.00)
(8.39,7.72)
(8.28,18.00)
(8.28,7.72)
(8.30,18.00)
(8.30,8.08)
(7.93,18.00)
(7.93,8.12)
(7.76,18.00)
(7.76,7.91)
(7.60,18.00)
(7.60,7.91)
(7.44,18.00)
(7.44,7.77)
(7.27,18.00)
(7.27,7.76)
(7.13,18.00)
(7.13,7.91)
(6.93,18.00)
(6.93,7.76)
(6.55,18.00)
(6.55,7.20)
(6.36,18.00)
(6.36,13.93)
(6.20,18.00)
(6.20,14.02)
(6.06,18.00)
(6.06,14.37)
(5.86,18.00)
(5.86,14.81)
(5.64,18.00)
(5.64,15.14)
(5.37,18.00)
(5.37,15.02)
(5.29,18.00)
(5.29,15.00)
(5.23,18.00)
(5.23,15.02)
(5.03,18.00)
(5.03,15.08)
(4.89,18.00)
(4.89,15.05)
(4.87,18.00)
(4.87,15.06)
(4.65,18.00)
(4.65,15.10)
(4.64,18.00)
(4.64,15.05)
(4.69,18.00)
(4.69,15.05)
(4.80,18.00)
(4.80,15.10)
(4.65,18.00)
(4.65,15.10)
(4.84,18.00)
(4.84,15.06)
(4.80,18.00)
(4.80,15.25)
(4.80,18.00)
(4.80,15.10)
(4.63,18.00)
(4.63,15.25)
(4.67,18.00)
(4.67,15.25)
(4.50,18.00)
(4.50,15.25)
(4.44,18.00)
(4.44,15.29)
(4.24,18.00)
(4.24,15.23)
(4.16,18.00)
(4.16,15.04)
(4.00,18.00)
(4.00,15.05)
(3.79,18.00)
(3.79,15.04)
(3.48,18.00)
(3.48,15.08)
(3.57,18.00)
(3.57,15.27)
(3.45,18.00)
(3.45,15.25)
(3.16,18.00)
(3.16,15.06)
(3.07,18.00)
(3.07,15.04)
(2.72,18.00)
(2.72,14.83)
(2.74,18.00)
(2.74,14.64)
(2.68,18.00)
(2.68,14.81)
(2.58,18.00)
(2.58,14.45)
(2.54,18.00)
(2.54,14.45)
(2.40,18.00)
(2.40,15.12)
(2.23,18.00)
(2.23,13.54)
(2.29,18.00)
(2.29,-0.36)
(2.13,18.00)
(2.13,13.81)
(1.93,18.00)
(1.93,-0.52)
(1.62,18.00)
(1.62,-0.52)
(1.50,18.00)
(1.50,-0.69)
(1.34,18.00)
(1.34,-0.34)
(0.00,16.32)
(13.76,16.32)
(0.00,16.36)
(13.76,16.36)
(0.00,16.36)
(13.76,16.36)
(0.00,16.36)
(13.76,16.36)
(0.00,16.36)
(13.76,16.36)
(0.00,16.31)
(13.76,16.31)
(0.00,16.35)
(13.76,16.35)
(0.00,16.31)
(13.76,16.31)
(0.00,16.36)
(13.76,16.36)
(0.00,16.30)
(13.76,16.30)
(0.00,16.34)
(13.75,16.34)
(0.00,16.32)
(13.78,16.32)
(0.00,16.15)
(13.78,16.15)
(0.00,16.11)
(13.78,16.11)
(0.00,16.09)
(13.78,16.09)
(0.00,16.07)
(13.94,16.07)
(0.00,16.08)
(13.77,16.08)
(0.00,16.05)
(13.94,16.05)
(0.00,16.15)
(13.94,16.15)
(0.00,16.15)
(13.78,16.15)
(0.00,16.09)
(13.60,16.09)
(0.00,16.14)
(13.78,16.14)
(0.00,16.03)
(13.78,16.03)
(0.00,15.98)
(13.76,15.98)
(0.00,15.58)
(13.58,15.58)
(0.00,15.65)
(13.82,15.65)
(0.00,15.59)
(13.78,15.59)
(0.00,15.53)
(13.94,15.53)
(0.00,15.34)
(13.60,15.34)
(0.00,15.06)
(13.58,15.06)
(0.00,14.88)
(3.55,14.88)
(0.00,14.61)
(2.79,14.61)
(0.00,14.33)
(2.58,14.33)
(0.00,14.21)
(2.04,14.21)
(0.00,14.02)
(1.86,14.02)
(0.00,13.78)
(1.82,13.78)
(0.00,13.29)
(1.69,13.29)
(0.00,13.05)
(1.69,13.05)
(0.00,12.57)
(1.63,12.57)
(0.00,12.16)
(1.80,12.16)
(0.00,11.64)
(1.84,11.64)
(0.00,11.55)
(1.82,11.55)
(0.00,11.29)
(1.82,11.29)
(0.00,11.09)
(1.98,11.09)
(0.00,10.99)
(1.81,10.99)
(0.00,10.89)
(1.82,10.89)
(0.00,10.93)
(1.82,10.93)
(0.00,10.60)
(1.82,10.60)
(0.00,10.48)
(1.82,10.48)
(0.00,10.32)
(1.82,10.32)
(0.00,10.30)
(2.00,10.30)
(0.00,10.08)
(1.79,10.08)
(0.00,10.07)
(1.98,10.07)
(0.00,9.69)
(2.52,9.69)
(0.00,9.53)
(7.71,9.53)
(0.00,9.50)
(3.04,9.50)
(0.00,9.48)
(13.86,9.48)
(0.00,9.42)
(14.03,9.42)
(0.00,17.25)
(14.21,17.25)
(0.00,9.04)
(6.77,9.04)
(0.00,8.39)
(7.07,8.39)
(0.00,7.89)
(7.19,7.89)
(0.00,7.76)
(6.48,7.76)
(0.00,7.82)
(6.46,7.82)
(0.00,7.52)
(6.09,7.52)
(0.00,7.24)
(6.25,7.24)
(0.00,7.14)
(6.23,7.14)
(0.00,7.02)
(5.71,7.02)
(0.00,6.94)
(6.21,6.94)
(0.00,6.85)
(5.84,6.85)
(0.00,6.92)
(6.01,6.92)
(0.00,6.61)
(6.01,6.61)
(0.00,6.51)
(5.79,6.51)
(0.00,6.40)
(5.67,6.40)
(0.00,6.12)
(5.79,6.12)
(0.00,6.18)
(5.77,6.18)
(0.00,5.90)
(5.42,5.90)
(0.00,5.66)
(5.63,5.66)
(0.00,5.29)
(5.42,5.29)
(0.00,5.34)
(5.59,5.34)
(0.00,4.97)
(5.63,4.97)
(0.00,5.21)
(5.59,5.21)
(0.00,4.95)
(5.58,4.95)
(0.00,4.70)
(5.40,4.70)
(0.00,4.48)
(5.40,4.48)
(0.00,4.15)
(5.57,4.15)
(0.00,3.96)
(5.57,3.96)
(0.00,3.71)
(5.75,3.71)
(0.00,3.57)
(5.79,3.57)
(0.00,3.18)
(5.94,3.18)
(0.00,3.00)
(6.13,3.00)
(0.00,3.18)
(6.51,3.18)
(0.00,2.66)
(6.40,2.66)
(0.00,2.60)
(12.15,2.60)
(0.00,2.05)
(13.73,2.05)
(0.00,2.03)
(9.07,2.03)
(0.00,2.13)
(14.07,2.13)
(0.00,1.83)
(14.07,1.83)
(0.00,1.52)
(13.90,1.52)
(0.00,1.54)
(14.23,1.54)
(0.00,1.36)
(14.23,1.36)
(0.84,0.00)
(0.84,9.03)
(0.84,0.00)
(0.84,9.19)
(0.84,0.00)
(0.84,9.23)
(0.84,0.00)
(0.84,9.23)
(0.80,0.00)
(0.80,9.42)
(0.84,0.00)
(0.84,9.42)
(0.67,0.00)
(0.67,9.38)
(0.68,0.00)
(0.68,9.42)
(0.68,0.00)
(0.68,9.23)
(0.47,0.00)
(0.47,9.42)
(0.52,0.00)
(0.52,9.19)
(0.92,0.00)
(0.92,9.17)
(1.33,0.00)
(1.33,9.00)
(1.69,0.00)
(1.69,8.81)
(1.67,0.00)
(1.67,8.99)
(1.83,0.00)
(1.83,8.79)
(1.38,0.00)
(1.38,9.04)
(1.28,0.00)
(1.28,9.24)
(1.20,0.00)
(1.20,9.25)
